Customer_ID,Target_Audience_ID,First_Name,Last_Name,Email,Gender,City,Country,Platform_Name,Age,Buy,Purchase_Num
CUST0001,SEG044,Layla,Khalid,layla.khalid@gmail.com,Female,Abu Dhabi,UAE,YouTube,25,1,1
CUST0002,SEG074,Ali,Layla,ali.layla@gmail.com,Female,Abu Dhabi,UAE,Instagram,50,1,4
CUST0003,SEG047,Salma,Ahmed,salma.ahmed@gmail.com,Male,Casablanca,Morocco,Facebook,52,0,0
CUST0004,SEG096,Omar,Nour,omar.nour@gmail.com,Female,Jeddah,Saudi Arabia,Instagram,34,1,5
CUST0005,SEG014,Sean,Cooper,sean.cooper@gmail.com,Male,Paris,France,Google,26,1,1
CUST0006,SEG150,Sandra,Brown,sandra.brown@gmail.com,Female,Los Angeles,USA,Instagram,29,1,5
CUST0007,SEG070,Mariam,Mariam,mariam.mariam@gmail.com,Male,Alexandria,Egypt,Instagram,32,0,0
CUST0008,SEG002,Michaela,Galloway,michaela.galloway@gmail.com,Female,Chicago,USA,YouTube,29,1,5
CUST0009,SEG141,Jerry,Hammond,jerry.hammond@gmail.com,Female,Chicago,USA,Google,32,1,3
CUST0010,SEG037,Ahmed,Youssef,ahmed.youssef@gmail.com,Female,Dubai,UAE,Google,26,0,0
CUST0011,SEG077,Karen,Henry,karen.henry@gmail.com,Female,Birmingham,UK,Google,24,0,0
CUST0012,SEG076,Joshua,Flores,joshua.flores@gmail.com,Male,Manchester,UK,Facebook,48,1,2
CUST0013,SEG101,Layla,Khalid,layla.khalid@gmail.com,Male,Rabat,Morocco,Facebook,30,1,1
CUST0014,SEG092,Mackenzie,Simmons,mackenzie.simmons@gmail.com,Male,London,UK,YouTube,54,1,3
CUST0015,SEG175,Samantha,Owen,samantha.owen@gmail.com,Male,Birmingham,UK,Instagram,45,1,4
CUST0016,SEG199,Salma,Nour,salma.nour@gmail.com,Male,Alexandria,Egypt,Facebook,37,1,3
CUST0017,SEG136,Marcus,Thomas,marcus.thomas@gmail.com,Male,Chicago,USA,Instagram,42,1,2
CUST0018,SEG003,Matthew,Johnson,matthew.johnson@gmail.com,Female,Frankfurt,Germany,Google,44,1,1
CUST0019,SEG196,Mariam,Omar,mariam.omar@gmail.com,Female,Alexandria,Egypt,Instagram,46,1,3
CUST0020,SEG119,Ahmed,Salma,ahmed.salma@gmail.com,Female,Marrakech,Morocco,YouTube,18,0,0
CUST0021,SEG084,Patrick,Booth,patrick.booth@gmail.com,Female,Paris,France,Google,41,1,5
CUST0022,SEG136,Fatma,Ahmed,fatma.ahmed@gmail.com,Female,Amman,Jordan,YouTube,38,1,4
CUST0023,SEG059,Sandra,Salazar,sandra.salazar@gmail.com,Male,New York,USA,Google,33,0,0
CUST0024,SEG012,Jeremy,Stanton,jeremy.stanton@gmail.com,Female,New York,USA,Facebook,59,1,4
CUST0025,SEG194,Charles,Garza,charles.garza@gmail.com,Male,New York,USA,Facebook,50,1,2
CUST0026,SEG126,Hannah,Ellison,hannah.ellison@gmail.com,Female,Marseille,France,Google,52,1,5
CUST0027,SEG013,Nour,Khalid,nour.khalid@gmail.com,Female,Dammam,Saudi Arabia,Facebook,56,1,4
CUST0028,SEG190,Sarah,Branch,sarah.branch@gmail.com,Male,London,UK,Instagram,30,1,1
CUST0029,SEG069,Omar,Ali,omar.ali@gmail.com,Female,Zarqa,Jordan,YouTube,22,1,4
CUST0030,SEG110,Omar,Mariam,omar.mariam@gmail.com,Male,Sharjah,UAE,YouTube,52,0,0
CUST0031,SEG069,Daniel,Payne,daniel.payne@gmail.com,Female,New York,USA,Instagram,47,0,0
CUST0032,SEG129,Nour,Layla,nour.layla@gmail.com,Female,Marrakech,Morocco,YouTube,43,1,2
CUST0033,SEG173,Elizabeth,Allen,elizabeth.allen@gmail.com,Male,Chicago,USA,YouTube,34,1,2
CUST0034,SEG028,Layla,Fatma,layla.fatma@gmail.com,Female,Alexandria,Egypt,YouTube,23,1,5
CUST0035,SEG060,Stephanie,Navarro,stephanie.navarro@gmail.com,Male,London,UK,Instagram,43,1,5
CUST0036,SEG101,Youssef,Youssef,youssef.youssef@gmail.com,Male,Abu Dhabi,UAE,Facebook,54,0,0
CUST0037,SEG117,Christopher,Johnston,christopher.johnston@gmail.com,Male,New York,USA,Google,35,1,5
CUST0038,SEG029,Edward,Brown,edward.brown@gmail.com,Female,Berlin,Germany,Instagram,31,0,0
CUST0039,SEG014,Robert,Kelly,robert.kelly@gmail.com,Male,Frankfurt,Germany,Facebook,57,0,0
CUST0040,SEG159,Daniel,Morrison,daniel.morrison@gmail.com,Male,Paris,France,Google,45,0,0
CUST0041,SEG184,Salma,Fatma,salma.fatma@gmail.com,Female,Dubai,UAE,Google,52,1,2
CUST0042,SEG160,Brian,Butler,brian.butler@gmail.com,Female,New York,USA,Facebook,52,0,0
CUST0043,SEG148,Stanley,Moran,stanley.moran@gmail.com,Female,Marseille,France,Instagram,36,1,4
CUST0044,SEG112,Elizabeth,Rodriguez,elizabeth.rodriguez@gmail.com,Male,New York,USA,YouTube,33,0,0
CUST0045,SEG115,Lindsay,Stewart,lindsay.stewart@gmail.com,Male,London,UK,Facebook,38,0,0
CUST0046,SEG018,Mariam,Ahmed,mariam.ahmed@gmail.com,Male,Rabat,Morocco,Facebook,19,1,2
CUST0047,SEG002,Mariam,Ali,mariam.ali@gmail.com,Male,Dubai,UAE,YouTube,39,1,4
CUST0048,SEG186,Layla,Mariam,layla.mariam@gmail.com,Female,Abu Dhabi,UAE,YouTube,53,1,2
CUST0049,SEG091,Ahmed,Omar,ahmed.omar@gmail.com,Male,Amman,Jordan,Instagram,40,1,3
CUST0050,SEG103,Susan,Hopkins,susan.hopkins@gmail.com,Male,Manchester,UK,Instagram,58,1,5
CUST0051,SEG047,Melinda,Scott,melinda.scott@gmail.com,Male,Birmingham,UK,YouTube,56,1,4
CUST0052,SEG133,Jessica,Barker,jessica.barker@gmail.com,Female,Manchester,UK,Google,39,1,5
CUST0053,SEG055,Omar,Ali,omar.ali@gmail.com,Male,Alexandria,Egypt,YouTube,38,1,4
CUST0054,SEG114,Mariam,Omar,mariam.omar@gmail.com,Female,Marrakech,Morocco,YouTube,32,0,0
CUST0055,SEG053,Ali,Omar,ali.omar@gmail.com,Male,Casablanca,Morocco,Instagram,50,1,3
CUST0056,SEG066,Khalid,Layla,khalid.layla@gmail.com,Female,Rabat,Morocco,YouTube,20,1,4
CUST0057,SEG196,Bobby,Matthews,bobby.matthews@gmail.com,Male,Munich,Germany,YouTube,48,1,2
CUST0058,SEG159,Ahmed,Fatma,ahmed.fatma@gmail.com,Male,Giza,Egypt,Facebook,29,1,4
CUST0059,SEG057,Anna,Benjamin,anna.benjamin@gmail.com,Male,Birmingham,UK,Facebook,30,0,0
CUST0060,SEG198,Salma,Fatma,salma.fatma@gmail.com,Male,Zarqa,Jordan,Instagram,57,0,0
CUST0061,SEG134,Youssef,Mariam,youssef.mariam@gmail.com,Female,Amman,Jordan,Instagram,34,1,1
CUST0062,SEG138,Alexander,Turner,alexander.turner@gmail.com,Male,Manchester,UK,Facebook,43,1,5
CUST0063,SEG072,Khalid,Khalid,khalid.khalid@gmail.com,Female,Cairo,Egypt,Facebook,50,1,5
CUST0064,SEG052,Mariam,Youssef,mariam.youssef@gmail.com,Male,Cairo,Egypt,YouTube,55,1,4
CUST0065,SEG024,Chad,Smith,chad.smith@gmail.com,Male,Frankfurt,Germany,Google,25,0,0
CUST0066,SEG122,Salma,Ahmed,salma.ahmed@gmail.com,Female,Jeddah,Saudi Arabia,Facebook,47,1,4
CUST0067,SEG042,Fatma,Omar,fatma.omar@gmail.com,Female,Abu Dhabi,UAE,Facebook,47,1,2
CUST0068,SEG122,Doris,Smith,doris.smith@gmail.com,Female,Berlin,Germany,YouTube,57,1,2
CUST0069,SEG081,Andrea,Hanson,andrea.hanson@gmail.com,Female,Manchester,UK,YouTube,41,1,4
CUST0070,SEG103,Brian,Martinez,brian.martinez@gmail.com,Male,New York,USA,Google,21,0,0
CUST0071,SEG066,Pamela,Dodson,pamela.dodson@gmail.com,Male,Manchester,UK,Facebook,41,0,0
CUST0072,SEG038,Ashley,Brown,ashley.brown@gmail.com,Female,Birmingham,UK,Google,31,1,4
CUST0073,SEG162,Alison,Baird,alison.baird@gmail.com,Female,Marseille,France,Google,48,0,0
